topic,policy_imp,policy_skill
desc_relation,NA,NA
desc_relation,Very important,Beginner
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Unable to perform
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,Not Important,NA
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Very important,Proficient
desc_relation,Not Important,NA
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Unable to perform
desc_relation,Very important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Unable to perform
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Unable to perform
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Unable to perform
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Very important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,Very important,Beginner
desc_relation,Very important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,Very important,Beginner
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Not Important,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Very important,Beginner
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Very important,Beginner
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Unable to perform
desc_relation,Very important,Beginner
desc_relation,Moderately important,Expert
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,Very important,Expert
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Not Important,NA
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Not Important,NA
desc_relation,Moderately important,Expert
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Not Important,NA
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,Very important,Proficient
desc_relation,Very important,Beginner
desc_relation,Not Important,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Very important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Very important,Expert
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Very important,Beginner
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Very important,Proficient
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Unable to perform
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Very important,Proficient
desc_relation,Not Important,NA
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Very important,Expert
desc_relation,Moderately important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Very important,Beginner
desc_relation,Very important,Unable to perform
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Very important,Beginner
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Very important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Very important,Beginner
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Very important,Beginner
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Moderately important,Unable to perform
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Very important,Proficient
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Very important,Beginner
desc_relation,Not Important,NA
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Not Important,NA
desc_relation,Not Important,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Not Important,NA
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,Very important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Moderately important,Expert
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Very important,Beginner
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Not Important,NA
desc_relation,NA,NA
desc_relation,Very important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Very important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Very important,Beginner
desc_relation,NA,NA
desc_relation,Not Important,NA
desc_relation,Not Important,NA
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,Very important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Not Important,NA
desc_relation,Very important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,Not Important,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Not Important,NA
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,Very important,Proficient
desc_relation,Very important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,Very important,Expert
desc_relation,Moderately important,Proficient
desc_relation,Very important,Beginner
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Very important,Proficient
desc_relation,Very important,Beginner
desc_relation,NA,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Beginner
desc_relation,Very important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Very important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Very important,Proficient
desc_relation,Very important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,Not Important,NA
desc_relation,Not Important,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Unable to perform
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Proficient
desc_relation,Very important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Not Important,NA
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Very important,Expert
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Not Important,NA
desc_relation,Moderately important,Beginner
desc_relation,Very important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Not Important,NA
desc_relation,Very important,Beginner
desc_relation,Very important,Beginner
desc_relation,Moderately important,Beginner
desc_relation,Very important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,Not Important,NA
desc_relation,Moderately important,Beginner
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Very important,Beginner
desc_relation,Very important,Beginner
desc_relation,Very important,Proficient
desc_relation,Very important,Beginner
desc_relation,Very important,Beginner
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Not Important,NA
desc_relation,Very important,Expert
exam_feasible,Very important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Proficient
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Not Important,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,Very important,Proficient
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,Moderately important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,Very important,Expert
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Beginner
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,Moderately important,Unable to perform
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Proficient
exam_feasible,Very important,Beginner
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Expert
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Proficient
exam_feasible,Moderately important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Not Important,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,Very important,Proficient
exam_feasible,Moderately important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Unable to perform
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,Very important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Not Important,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Proficient
exam_feasible,Moderately important,Beginner
exam_feasible,Moderately important,Unable to perform
exam_feasible,Moderately important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,Very important,Proficient
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Proficient
exam_feasible,Moderately important,Beginner
exam_feasible,Moderately important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Proficient
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,Very important,Proficient
exam_feasible,NA,NA
exam_feasible,Very important,Proficient
exam_feasible,NA,NA
exam_feasible,Moderately important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Beginner
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
