topic,policy_imp,policy_skill
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Beginner
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Expert
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Somewhat important,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Very important,Beginner
exam_feasible,NA,NA
exam_feasible,Very important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Moderately important,Proficient
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,Not Important,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
exam_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Moderately important,Proficient
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Very important,Proficient
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Very important,Beginner
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Very important,Proficient
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Not Important,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Somewhat important,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Moderately important,Proficient
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Very important,Beginner
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Very important,Proficient
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Very important,Proficient
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Very important,Expert
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Very important,Proficient
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Very important,Beginner
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Moderately important,Proficient
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Very important,Proficient
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Moderately important,Beginner
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Moderately important,Proficient
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Moderately important,Beginner
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Very important,Proficient
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Very important,Proficient
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Very important,Beginner
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Very important,Proficient
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,Very important,Expert
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
determin_feasible,NA,NA
collect_inform,NA,NA
collect_inform,Very important,Beginner
collect_inform,Very important,Proficient
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,Somewhat important,NA
collect_inform,Moderately important,Beginner
collect_inform,Somewhat important,NA
collect_inform,Very important,Proficient
collect_inform,Not Important,NA
collect_inform,Moderately important,Beginner
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,Very important,Proficient
collect_inform,Moderately important,Beginner
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,Very important,Proficient
collect_inform,Not Important,NA
collect_inform,Very important,Beginner
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Very important,Beginner
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Very important,Proficient
collect_inform,Moderately important,Unable to perform
collect_inform,Very important,Beginner
collect_inform,NA,NA
collect_inform,Moderately important,Unable to perform
collect_inform,Very important,Unable to perform
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,Moderately important,Beginner
collect_inform,Very important,Proficient
collect_inform,NA,NA
collect_inform,Moderately important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Moderately important,Unable to perform
collect_inform,Moderately important,Beginner
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Very important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Moderately important,Beginner
collect_inform,NA,NA
collect_inform,Moderately important,Beginner
collect_inform,NA,NA
collect_inform,Moderately important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Not Important,NA
collect_inform,Very important,Beginner
collect_inform,Very important,Proficient
collect_inform,Moderately important,Beginner
collect_inform,Somewhat important,NA
collect_inform,Moderately important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Somewhat important,NA
collect_inform,Very important,Proficient
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Very important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Very important,Proficient
collect_inform,Very important,Expert
collect_inform,Very important,Proficient
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Moderately important,Proficient
collect_inform,Very important,Proficient
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,Moderately important,Proficient
collect_inform,Moderately important,Proficient
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,Moderately important,Proficient
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Moderately important,Beginner
collect_inform,NA,NA
collect_inform,Not Important,NA
collect_inform,Moderately important,Beginner
collect_inform,Moderately important,Proficient
collect_inform,Moderately important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Very important,Beginner
collect_inform,Moderately important,Proficient
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,Very important,Beginner
collect_inform,Moderately important,Proficient
collect_inform,Not Important,NA
collect_inform,Very important,Proficient
collect_inform,Moderately important,Unable to perform
collect_inform,Very important,Beginner
collect_inform,Very important,Expert
collect_inform,Moderately important,Beginner
collect_inform,NA,NA
collect_inform,Moderately important,Beginner
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Moderately important,Beginner
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,Very important,Proficient
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,Very important,Proficient
collect_inform,Very important,Expert
collect_inform,Moderately important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Very important,Proficient
collect_inform,NA,NA
collect_inform,Moderately important,Beginner
collect_inform,Very important,Proficient
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Moderately important,Proficient
collect_inform,Not Important,NA
collect_inform,Moderately important,Beginner
collect_inform,Moderately important,Proficient
collect_inform,Moderately important,Proficient
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Not Important,NA
collect_inform,Very important,Proficient
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Moderately important,Proficient
collect_inform,Very important,Beginner
collect_inform,NA,NA
collect_inform,Moderately important,Beginner
collect_inform,Moderately important,Beginner
collect_inform,NA,NA
collect_inform,Moderately important,Proficient
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,Very important,Proficient
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,Moderately important,Proficient
collect_inform,Moderately important,Proficient
collect_inform,Very important,Beginner
collect_inform,Moderately important,Beginner
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,Moderately important,Beginner
collect_inform,Somewhat important,NA
collect_inform,Moderately important,Beginner
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Very important,Proficient
collect_inform,Very important,Beginner
collect_inform,NA,NA
collect_inform,Moderately important,Proficient
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,Very important,Proficient
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,Very important,Proficient
collect_inform,Moderately important,Beginner
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,Very important,Beginner
collect_inform,Moderately important,Beginner
collect_inform,Not Important,NA
collect_inform,Moderately important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Moderately important,Proficient
collect_inform,Moderately important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,Moderately important,Proficient
collect_inform,Very important,Beginner
collect_inform,Moderately important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Moderately important,Proficient
collect_inform,Moderately important,Proficient
collect_inform,Moderately important,Proficient
collect_inform,Moderately important,Beginner
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,Very important,Proficient
collect_inform,Moderately important,Proficient
collect_inform,Very important,Beginner
collect_inform,Moderately important,Beginner
collect_inform,Moderately important,Proficient
collect_inform,Moderately important,Beginner
collect_inform,Very important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Moderately important,Beginner
collect_inform,Moderately important,Proficient
collect_inform,NA,NA
collect_inform,Very important,Proficient
collect_inform,Moderately important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,Very important,Expert
collect_inform,Not Important,NA
collect_inform,Somewhat important,NA
collect_inform,Very important,Beginner
collect_inform,Very important,Unable to perform
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,Very important,Beginner
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,Very important,Beginner
collect_inform,Not Important,NA
collect_inform,Moderately important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Moderately important,Proficient
collect_inform,Not Important,NA
collect_inform,Moderately important,Beginner
collect_inform,Moderately important,Proficient
collect_inform,Very important,Beginner
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,Very important,Beginner
collect_inform,NA,NA
collect_inform,Moderately important,Beginner
collect_inform,NA,NA
collect_inform,Moderately important,Unable to perform
collect_inform,Moderately important,Beginner
collect_inform,NA,NA
collect_inform,Very important,Proficient
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Not Important,NA
collect_inform,Very important,Beginner
collect_inform,Not Important,NA
collect_inform,NA,NA
collect_inform,Moderately important,Proficient
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,Moderately important,Proficient
collect_inform,NA,NA
collect_inform,Moderately important,Beginner
collect_inform,Very important,Proficient
collect_inform,NA,NA
collect_inform,Not Important,NA
collect_inform,NA,NA
collect_inform,Not Important,NA
collect_inform,Not Important,NA
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,Somewhat important,NA
collect_inform,Moderately important,Proficient
collect_inform,Very important,Proficient
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,Not Important,NA
collect_inform,Very important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Very important,Proficient
collect_inform,Very important,Beginner
collect_inform,NA,NA
collect_inform,Not Important,NA
collect_inform,Very important,Proficient
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Moderately important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Very important,Beginner
collect_inform,Somewhat important,NA
collect_inform,Very important,Proficient
collect_inform,Moderately important,Proficient
collect_inform,Moderately important,Beginner
collect_inform,Very important,Proficient
collect_inform,Moderately important,Proficient
collect_inform,NA,NA
collect_inform,Moderately important,Expert
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Very important,Beginner
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,NA,NA
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,Not Important,NA
collect_inform,NA,NA
collect_inform,Not Important,NA
collect_inform,NA,NA
collect_inform,Very important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Moderately important,Proficient
collect_inform,Somewhat important,NA
collect_inform,NA,NA
collect_inform,Moderately important,Proficient
collect_inform,Somewhat important,NA
collect_inform,Somewhat important,NA
collect_inform,Not Important,NA
