"grouping","group_col","question","prop_agree","n","n_agree","sd_agree","se","ci_lower","ci_upper","cat_group","diff_leaving"
"leave_retire","leaving not retiring","s_treated_fair_gender_recat",100,74,74,0,0,100,100,"treated fairly",1.89873417721519
"leave_retire","leaving not retiring","s_treated_fair_sex_orient_recat",100,74,74,0,0,100,100,"treated fairly",0.949367088607602
"leave_retire","leaving not retiring","s_treated_fair_age_recat",98.6486486486486,74,73,0.116247638743819,1.35135135135135,96,101.297297297297,"treated fairly",1.81320561067396
"leave_retire","leaving not retiring","s_treated_fair_diability_recat",95.9459459459459,74,71,0.198569486074029,2.30832338826795,91.4216321049408,100.470259786951,"treated fairly",2.15531987683887
"leave_retire","leaving not retiring","s_treated_fair_race_recat",95.9459459459459,74,71,0.198569486074029,2.30832338826795,91.4216321049408,100.470259786951,"treated fairly",1.83886418063634
"leave_retire","leaving not retiring","s_supervisor_recat",85.1351351351351,74,63,0.358170099347561,4.16364283177932,76.9743951848477,93.2958750854226,"supervisor",11.0673965104345
"leave_retire","leaving not retiring","s_work_unit_recat",78.3783783783784,74,58,0.414473432903422,4.81815578970676,68.9347930305531,87.8219637262036,"org & team",19.0899760520014
"leave_retire","leaving not retiring","f_psych_safe_recat",78.3783783783784,74,58,0.414473432903422,4.81815578970676,68.9347930305531,87.8219637262036,"treated fairly",13.3937735203558
"leave_retire","leaving not retiring","s_belonging_work_unit_recat",74.3243243243243,74,55,0.439825955951969,5.11287288376595,64.3030934721431,84.3455551765056,"belonging",21.2452959288402
"leave_retire","leaving not retiring","s_sup_interpersonal_skills_recat",74.3243243243243,74,55,0.439825955951969,5.11287288376595,64.3030934721431,84.3455551765056,"supervisor",17.1313718782073
"leave_retire","leaving not retiring","f_manage_demands_recat",74.3243243243243,74,55,0.439825955951969,5.11287288376595,64.3030934721431,84.3455551765056,"balance",13.6503592199795
"leave_retire","leaving not retiring","s_benefits_recat",72.972972972973,74,54,0.447130801165175,5.19778998450837,62.7853046033366,83.1606413426094,"pay & benefits",16.267533356141
"leave_retire","leaving not retiring","s_org_recat",72.972972972973,74,54,0.447130801165175,5.19778998450837,62.7853046033366,83.1606413426094,"org & team",20.3814574067739
"leave_retire","leaving not retiring","f_treated_fairly_recat",72.972972972973,74,54,0.447130801165175,5.19778998450837,62.7853046033366,83.1606413426094,"treated fairly",21.9637358877865
"leave_retire","leaving not retiring","f_work_life_balance_recat",72.972972972973,74,54,0.447130801165175,5.19778998450837,62.7853046033366,83.1606413426094,"balance",14.3687991789258
"leave_retire","leaving not retiring","f_voice_concerns_recat",71.6216216216216,74,53,0.453910565998648,5.27660314982134,61.2794794479718,81.9637637952714,"org & team",18.8847074923024
"leave_retire","leaving not retiring","s_job_recat",70.2702702702703,74,52,0.460188458409019,5.34958216672067,59.7850892234978,80.7554513170428,"job",27.514539856312
"leave_retire","leaving not retiring","s_belonging_agency_recat",64.8648648648649,74,48,0.480651168826249,5.58745634355083,53.9134504315052,75.8162792982245,"belonging",29.122476907287
"leave_retire","leaving not retiring","f_love_job_recat",60.8108108108108,74,45,0.49150502910142,5.71362990637523,49.6120961943154,72.0095254273063,"job",27.163872733493
"leave_retire","leaving not retiring","f_happy_input_recat",58.1081081081081,74,43,0.496749895912648,5.77460024460833,46.7898916286758,69.4263245875404,"org & team",25.4361956893603
"leave_retire","leaving not retiring","f_paid_fairly_recat",52.7027027027027,74,39,0.502677024579755,5.84350171581653,41.2494393397023,64.1559660657031,"pay & benefits",16.9175504618543
"leave_retire","leaving not retiring","s_pay_recat",45.945945945946,74,34,0.501755526051275,5.83278951301236,34.5136785004417,57.3782133914502,"pay & benefits",24.9401300034211
"leave_retire","not leaving or retiring","s_treated_fair_sex_orient_recat",99.0506329113924,316,313,0.0971256588683382,0.546374518311178,97.9797388555025,100.121526967282,"treated fairly",0.949367088607602
"leave_retire","not leaving or retiring","s_treated_fair_diability_recat",98.1012658227848,316,310,0.136696581503768,0.768978349739185,96.594068257296,99.6084633882736,"treated fairly",2.15531987683887
"leave_retire","not leaving or retiring","s_treated_fair_gender_recat",98.1012658227848,316,310,0.136696581503768,0.768978349739185,96.594068257296,99.6084633882736,"treated fairly",1.89873417721519
"leave_retire","not leaving or retiring","s_job_recat",97.7848101265823,316,309,0.147410846975069,0.829250801984538,96.1594785546926,99.410141698472,"job",27.514539856312
"leave_retire","not leaving or retiring","s_treated_fair_race_recat",97.7848101265823,316,309,0.147410846975069,0.829250801984538,96.1594785546926,99.410141698472,"treated fairly",1.83886418063634
"leave_retire","not leaving or retiring","s_work_unit_recat",97.4683544303797,316,308,0.15733361939472,0.885070757949495,95.7336157447987,99.2030931159608,"org & team",19.0899760520014
"leave_retire","not leaving or retiring","s_treated_fair_age_recat",96.8354430379747,316,306,0.175332285926597,0.986321167688582,94.9022535493051,98.7686325266443,"treated fairly",1.81320561067396
"leave_retire","not leaving or retiring","s_supervisor_recat",96.2025316455696,316,304,0.191438197557401,1.07692399923459,94.0917606070698,98.3133026840694,"supervisor",11.0673965104345
"leave_retire","not leaving or retiring","s_belonging_work_unit_recat",95.5696202531646,316,302,0.206095576806452,1.15937819949655,93.2972389821513,97.8420015241778,"belonging",21.2452959288402
"leave_retire","not leaving or retiring","f_treated_fairly_recat",94.9367088607595,316,300,0.219594672917444,1.23531654803612,92.5154884266087,97.3579292949103,"treated fairly",21.9637358877865
"leave_retire","not leaving or retiring","s_belonging_agency_recat",93.9873417721519,316,297,0.238098251939937,1.33940731244629,91.3621034397572,96.6125801045466,"belonging",29.122476907287
"leave_retire","not leaving or retiring","s_org_recat",93.3544303797468,316,295,0.2494720163061,1.40338973582807,90.6037864975238,96.1050742619698,"org & team",20.3814574067739
"leave_retire","not leaving or retiring","f_psych_safe_recat",91.7721518987342,316,290,0.275224350007499,1.54825793116833,88.7375663536443,94.8067374438241,"treated fairly",13.3937735203558
"leave_retire","not leaving or retiring","s_sup_interpersonal_skills_recat",91.4556962025316,316,289,0.279983207969741,1.57502859874605,88.3686401489894,94.5427522560739,"supervisor",17.1313718782073
"leave_retire","not leaving or retiring","f_voice_concerns_recat",90.5063291139241,316,286,0.29359241120646,1.65158634826043,87.2692198713336,93.7434383565145,"org & team",18.8847074923024
"leave_retire","not leaving or retiring","s_benefits_recat",89.2405063291139,316,282,0.310359607868846,1.74590919874692,85.81852429957,92.6624883586579,"pay & benefits",16.267533356141
"leave_retire","not leaving or retiring","f_love_job_recat",87.9746835443038,316,278,0.325773218163331,1.83261753100649,84.3827531835311,91.5666139050765,"job",27.163872733493
"leave_retire","not leaving or retiring","f_manage_demands_recat",87.9746835443038,316,278,0.325773218163331,1.83261753100649,84.3827531835311,91.5666139050765,"balance",13.6503592199795
"leave_retire","not leaving or retiring","f_work_life_balance_recat",87.3417721518987,316,276,0.333031810582043,1.87345030354672,83.6698095569472,91.0137347468503,"balance",14.3687991789258
"leave_retire","not leaving or retiring","f_happy_input_recat",83.5443037974684,316,264,0.371368289261262,2.08910984517721,79.449648500921,87.6389590940157,"org & team",25.4361956893603
"leave_retire","not leaving or retiring","s_pay_recat",70.8860759493671,316,224,0.455008075537677,2.55962040305538,65.8692199593786,75.9029319393556,"pay & benefits",24.9401300034211
"leave_retire","not leaving or retiring","f_paid_fairly_recat",69.620253164557,316,220,0.460625671933691,2.59122185174258,64.5414583351415,74.6990479939724,"pay & benefits",16.9175504618543
