"grouping","group_col","question","prop_agree","n","n_agree","sd_agree","se","ci_lower","ci_upper","cat_group","diff_exec_sup","diff_sup_nonsup"
"position_type","Non-supervisor","s_treated_fair_sex_orient_recat",99.388379204893,327,325,0.0780861484322751,0.431817387534339,98.5420171253257,100.23474128446,"treated fairly",1.0204081632653,0.408787368158258
"position_type","Non-supervisor","s_treated_fair_gender_recat",98.7767584097859,327,323,0.110090179660324,0.608800084631375,97.5835102439084,99.9700065756634,"treated fairly",3.06122448979592,1.83798289958186
"position_type","Non-supervisor","s_treated_fair_race_recat",98.4709480122324,327,322,0.122893881608669,0.679604718194493,97.1389227645712,99.8029732598936,"treated fairly",1.77462289263532,4.59339699182425
"position_type","Non-supervisor","s_treated_fair_diability_recat",96.9418960244648,327,317,0.172443549956544,0.953615010272475,95.0728106043308,98.8109814445989,"treated fairly",1.0204081632653,2.03769581226986
"position_type","Non-supervisor","s_treated_fair_age_recat",95.7186544342508,327,313,0.202746567457839,1.12119107996639,93.5211199175166,97.9161889509849,"treated fairly",2.3070097604259,2.24052923921862
"position_type","Non-supervisor","s_supervisor_recat",93.5779816513761,327,306,0.245520457251123,1.35773123101812,90.9168284385806,96.2391348641717,"supervisor",1.50842945874001,3.78206328402921
"position_type","Non-supervisor","s_job_recat",92.9663608562691,327,304,0.256104985883329,1.41626380810131,90.1904837923906,95.7422379201477,"job",6.87666370896186,4.19085065218749
"position_type","Non-supervisor","s_work_unit_recat",92.9663608562691,327,304,0.256104985883329,1.41626380810131,90.1904837923906,95.7422379201477,"org & team",1.77462289263532,0.911190164139043
"position_type","Non-supervisor","s_org_recat",91.4373088685015,327,299,0.280241167410494,1.54973719693357,88.3998239625117,94.4747937744913,"org & team",17.0807453416149,12.865880297073
"position_type","Non-supervisor","f_treated_fairly_recat",90.2140672782875,327,295,0.297579713139082,1.64561957390415,86.9886529134353,93.4394816431396,"treated fairly",2.52883762200533,1.43855707420583
"position_type","Non-supervisor","s_belonging_work_unit_recat",89.6024464831804,327,293,0.305696588642418,1.69050599800319,86.2890547270942,92.9158382392667,"belonging",1.2866015971606,7.33632902702365
"position_type","Non-supervisor","s_belonging_agency_recat",88.6850152905199,327,290,0.317261362216545,1.75445934200167,85.2462749801966,92.1237556008432,"belonging",9.93788819875778,2.97072957623416
"position_type","Non-supervisor","f_manage_demands_recat",88.6850152905199,327,290,0.317261362216545,1.75445934200167,85.2462749801966,92.1237556008432,"balance",0.709849157054123,11.1339948823566
"position_type","Non-supervisor","f_psych_safe_recat",88.6850152905199,327,290,0.317261362216545,1.75445934200167,85.2462749801966,92.1237556008432,"treated fairly",10.5146406388642,0.0904949135617557
"position_type","Non-supervisor","s_sup_interpersonal_skills_recat",88.0733944954129,327,288,0.324598023484957,1.79503117152272,84.5551333992283,91.5916555915974,"supervisor",7.45341614906832,2.35910878112715
"position_type","Non-supervisor","f_work_life_balance_recat",88.0733944954129,327,288,0.324598023484957,1.79503117152272,84.5551333992283,91.5916555915974,"balance",7.98580301685892,10.5223740872496
"position_type","Non-supervisor","s_benefits_recat",86.8501529051988,327,284,0.338462627406674,1.87170260640425,83.1816157966464,90.5186900137511,"pay & benefits",4.12599822537712,0.115459027647745
"position_type","Non-supervisor","f_voice_concerns_recat",85.3211009174312,327,279,0.354437809580216,1.96004556568783,81.4794116086831,89.1627902261793,"org & team",9.93788819875778,0.393184796854513
"position_type","Non-supervisor","f_love_job_recat",84.4036697247707,327,276,0.363376596379597,2.00947716963975,80.4650944722767,88.3422449772646,"job",0.976042590949419,2.77101666354616
"position_type","Non-supervisor","f_happy_input_recat",77.0642201834862,327,252,0.421064110421094,2.32848985123404,72.5003800750675,81.628060291905,"org & team",8.65128660159715,5.58884104100356
"position_type","Non-supervisor","f_paid_fairly_recat",66.6666666666667,327,218,0.472126980250623,2.61086816662652,61.5493650600787,71.7839682732546,"pay & benefits",13.620230700976,7.82312925170069
"position_type","Non-supervisor","s_pay_recat",65.4434250764526,327,214,0.476281192194286,2.63384101116799,60.2810966945633,70.6057534583419,"pay & benefits",15.6610470275066,11.0871871684454
"position_type","Supervisor","s_treated_fair_diability_recat",98.9795918367347,98,97,0.101015254455221,1.02040816326531,96.9795918367347,100.979591836735,"treated fairly",1.0204081632653,2.03769581226986
"position_type","Supervisor","s_treated_fair_sex_orient_recat",98.9795918367347,98,97,0.101015254455221,1.02040816326531,96.9795918367347,100.979591836735,"treated fairly",1.0204081632653,0.408787368158258
"position_type","Supervisor","s_treated_fair_age_recat",97.9591836734694,98,96,0.142118858106802,1.43561726145441,95.1453738410188,100.77299350592,"treated fairly",2.3070097604259,2.24052923921862
"position_type","Supervisor","s_belonging_work_unit_recat",96.9387755102041,98,95,0.173150410310761,1.74908327565674,93.5105722899169,100.366978730491,"belonging",1.2866015971606,7.33632902702365
"position_type","Supervisor","s_treated_fair_gender_recat",96.9387755102041,98,95,0.173150410310761,1.74908327565674,93.5105722899169,100.366978730491,"treated fairly",3.06122448979592,1.83798289958186
"position_type","Supervisor","s_treated_fair_race_recat",93.8775510204082,98,92,0.240974248126322,2.4342074991636,89.1065043220475,98.6485977187688,"treated fairly",1.77462289263532,4.59339699182425
"position_type","Supervisor","s_work_unit_recat",93.8775510204082,98,92,0.240974248126322,2.4342074991636,89.1065043220475,98.6485977187688,"org & team",1.77462289263532,0.911190164139043
"position_type","Supervisor","s_supervisor_recat",89.7959183673469,98,88,0.304258297699363,3.07347293622136,83.7719114123531,95.8199253223408,"supervisor",1.50842945874001,3.78206328402921
"position_type","Supervisor","s_job_recat",88.7755102040816,98,87,0.31729049622439,3.20511802123301,82.4934788824649,95.0575415256983,"job",6.87666370896186,4.19085065218749
"position_type","Supervisor","f_psych_safe_recat",88.7755102040816,98,87,0.31729049622439,3.20511802123301,82.4934788824649,95.0575415256983,"treated fairly",10.5146406388642,0.0904949135617557
"position_type","Supervisor","f_treated_fairly_recat",88.7755102040816,98,87,0.31729049622439,3.20511802123301,82.4934788824649,95.0575415256983,"treated fairly",2.52883762200533,1.43855707420583
"position_type","Supervisor","s_benefits_recat",86.734693877551,98,85,0.340943357814689,3.44404800444683,79.9843597888352,93.4850279662668,"pay & benefits",4.12599822537712,0.115459027647745
"position_type","Supervisor","s_belonging_agency_recat",85.7142857142857,98,84,0.351726229056329,3.55297145267005,78.7504616670524,92.678109761519,"belonging",9.93788819875778,2.97072957623416
"position_type","Supervisor","s_sup_interpersonal_skills_recat",85.7142857142857,98,84,0.351726229056329,3.55297145267005,78.7504616670524,92.678109761519,"supervisor",7.45341614906832,2.35910878112715
"position_type","Supervisor","f_voice_concerns_recat",85.7142857142857,98,84,0.351726229056329,3.55297145267005,78.7504616670524,92.678109761519,"org & team",9.93788819875778,0.393184796854513
"position_type","Supervisor","f_happy_input_recat",82.6530612244898,98,81,0.380599370068486,3.8446342212965,75.1175781507487,90.1885442982309,"org & team",8.65128660159715,5.58884104100356
"position_type","Supervisor","f_love_job_recat",81.6326530612245,98,80,0.389208522159857,3.93159979021185,73.9267174724093,89.3385886500397,"job",0.976042590949419,2.77101666354616
"position_type","Supervisor","s_org_recat",78.5714285714286,98,77,0.412435561977268,4.16622832395159,70.4056210564835,86.7372360863737,"org & team",17.0807453416149,12.865880297073
"position_type","Supervisor","f_manage_demands_recat",77.5510204081633,98,76,0.4193911208716,4.23649007911051,69.2474998531067,85.8545409632199,"balance",0.709849157054123,11.1339948823566
"position_type","Supervisor","f_work_life_balance_recat",77.5510204081633,98,76,0.4193911208716,4.23649007911051,69.2474998531067,85.8545409632199,"balance",7.98580301685892,10.5223740872496
"position_type","Supervisor","s_pay_recat",76.530612244898,98,75,0.42598631235363,4.30311157368432,68.0965135604767,84.9647109293192,"pay & benefits",15.6610470275066,11.0871871684454
"position_type","Supervisor","f_paid_fairly_recat",74.4897959183673,98,73,0.438159799729374,4.42608236617114,65.8146744806719,83.1649173560628,"pay & benefits",13.620230700976,7.82312925170069
"position_type","Executive","s_treated_fair_diability_recat",100,23,23,0,0,100,100,"treated fairly",1.0204081632653,2.03769581226986
"position_type","Executive","s_treated_fair_gender_recat",100,23,23,0,0,100,100,"treated fairly",3.06122448979592,1.83798289958186
"position_type","Executive","s_treated_fair_sex_orient_recat",100,23,23,0,0,100,100,"treated fairly",1.0204081632653,0.408787368158258
"position_type","Executive","s_belonging_agency_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,104.173913043478,"belonging",9.93788819875778,2.97072957623416
"position_type","Executive","s_belonging_work_unit_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,104.173913043478,"belonging",1.2866015971606,7.33632902702365
"position_type","Executive","s_job_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,104.173913043478,"job",6.87666370896186,4.19085065218749
"position_type","Executive","s_org_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,104.173913043478,"org & team",17.0807453416149,12.865880297073
"position_type","Executive","s_treated_fair_age_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,104.173913043478,"treated fairly",2.3070097604259,2.24052923921862
"position_type","Executive","s_treated_fair_race_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,104.173913043478,"treated fairly",1.77462289263532,4.59339699182425
"position_type","Executive","s_work_unit_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,104.173913043478,"org & team",1.77462289263532,0.911190164139043
"position_type","Executive","f_voice_concerns_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,104.173913043478,"org & team",9.93788819875778,0.393184796854513
"position_type","Executive","s_supervisor_recat",91.304347826087,23,21,0.28810406552003,6.00738504093702,79.5298731458504,103.078822506324,"supervisor",1.50842945874001,3.78206328402921
"position_type","Executive","f_happy_input_recat",91.304347826087,23,21,0.28810406552003,6.00738504093702,79.5298731458504,103.078822506324,"org & team",8.65128660159715,5.58884104100356
"position_type","Executive","f_treated_fairly_recat",91.304347826087,23,21,0.28810406552003,6.00738504093702,79.5298731458504,103.078822506324,"treated fairly",2.52883762200533,1.43855707420583
"position_type","Executive","s_benefits_recat",82.6086956521739,23,19,0.38755338788159,8.08104675899639,66.769844004541,98.4475472998068,"pay & benefits",4.12599822537712,0.115459027647745
"position_type","Executive","f_love_job_recat",82.6086956521739,23,19,0.38755338788159,8.08104675899639,66.769844004541,98.4475472998068,"job",0.976042590949419,2.77101666354616
"position_type","Executive","s_sup_interpersonal_skills_recat",78.2608695652174,23,18,0.42174116783665,8.79391124952055,61.0248035161571,95.4969356142777,"supervisor",7.45341614906832,2.35910878112715
"position_type","Executive","f_manage_demands_recat",78.2608695652174,23,18,0.42174116783665,8.79391124952055,61.0248035161571,95.4969356142777,"balance",0.709849157054123,11.1339948823566
"position_type","Executive","f_psych_safe_recat",78.2608695652174,23,18,0.42174116783665,8.79391124952055,61.0248035161571,95.4969356142777,"treated fairly",10.5146406388642,0.0904949135617557
"position_type","Executive","f_work_life_balance_recat",69.5652173913043,23,16,0.470471968896965,9.81001869248289,50.3375807540379,88.7928540285708,"balance",7.98580301685892,10.5223740872496
"position_type","Executive","s_pay_recat",60.8695652173913,23,14,0.499010879347845,10.4050961115322,40.4755768387883,81.2635535959943,"pay & benefits",15.6610470275066,11.0871871684454
"position_type","Executive","f_paid_fairly_recat",60.8695652173913,23,14,0.499010879347845,10.4050961115322,40.4755768387883,81.2635535959943,"pay & benefits",13.620230700976,7.82312925170069
